Label,Value
2004 Jan,98.5
2004 Feb,98.9
2004 Mar,99.1
2004 Apr,99.4
2004 May,99.6
2004 Jun,99.7
2004 Jul,99.7
2004 Aug,100
2004 Sep,100.1
2004 Oct,100
2004 Nov,100.9
2004 Dec,101.3
2005 Jan,101.6
2005 Feb,101.7
2005 Mar,102
2005 Apr,102.4
2005 May,102.2
2005 Jun,102
2005 Jul,101.8
2005 Aug,101.9
2005 Sep,102.8
2005 Oct,103.8
2005 Nov,103.7
2005 Dec,103.7
2006 Jan,104
2006 Feb,103.3
2006 Mar,103
2006 Apr,103.1
2006 May,103.8
2006 Jun,104.2
2006 Jul,104.2
2006 Aug,104.7
2006 Sep,104.8
2006 Oct,104.2
2006 Nov,105.2
2006 Dec,105.7
2007 Jan,105.6
2007 Feb,105.6
2007 Mar,105.9
2007 Apr,106.2
2007 May,106.8
2007 Jun,107.1
2007 Jul,107.2
2007 Aug,107.2
2007 Sep,107.1
2007 Oct,107.7
2007 Nov,108.5
2007 Dec,108.9
2008 Jan,109.7
2008 Feb,110.4
2008 Mar,111.6
2008 Apr,113.1
2008 May,113.9
2008 Jun,114.9
2008 Jul,115.6
2008 Aug,115.1
2008 Sep,114
2008 Oct,113
2008 Nov,111.1
2008 Dec,109.9
2009 Jan,109
2009 Feb,108.2
2009 Mar,107.3
2009 Apr,107.1
2009 May,107.3
2009 Jun,107.4
2009 Jul,107.2
2009 Aug,107.6
2009 Sep,107.9
2009 Oct,108.4
2009 Nov,109.1
2009 Dec,109.7
2010 Jan,110.3
2010 Feb,110.4
2010 Mar,110.3
2010 Apr,110.8
2010 May,111.2
2010 Jun,110.7
2010 Jul,110.5
2010 Aug,110.7
2010 Sep,111
2010 Oct,111.3
2010 Nov,112.2
2010 Dec,112.6
2011 Jan,113.6
2011 Feb,114.4
2011 Mar,115
2011 Apr,115.9
2011 May,116.4
2011 Jun,116.4
2011 Jul,116.5
2011 Aug,116.8
2011 Sep,117
2011 Oct,116.6
2011 Nov,116.3
2011 Dec,116.4
2012 Jan,116.4
2012 Feb,116.3
2012 Mar,116.7
2012 Apr,116.7
2012 May,116.6
2012 Jun,116.3
2012 Jul,115.9
2012 Aug,115.8
2012 Sep,116
2012 Oct,116.4
2012 Nov,116.4
2012 Dec,116.5
2013 Jan,116.6
2013 Feb,116.6
2013 Mar,116.5
2013 Apr,116.5
2013 May,116.1
2013 Jun,115.7
2013 Jul,115
2013 Aug,114.8
2013 Sep,114.8
2013 Oct,114.9
2013 Nov,115
2013 Dec,115.2
2014 Jan,115.7
2014 Feb,116
2014 Mar,116.5
2014 Apr,116.1
2014 May,116
2014 Jun,115.8
2014 Jul,115.8
2014 Aug,115.7
2014 Sep,115.6
2014 Oct,115.4
2014 Nov,115.1
2014 Dec,115.1
2015 Jan,114.3
2015 Feb,114
2015 Mar,113.5
2015 Apr,113
2015 May,112.9
2015 Jun,112.8
2015 Jul,112.5
2015 Aug,112.1
2015 Sep,111.9
2015 Oct,111.5
2015 Nov,111.2
2015 Dec,110.8
2016 Jan,110.7
2016 Feb,110.5
2016 Mar,110.4
2016 Apr,110.4
2016 May,110.8
2016 Jun,110.5
2016 Jul,111
2016 Aug,111.1
2016 Sep,111.2
2016 Oct,111.1
2016 Nov,111.1
2016 Dec,111.1
2017 Jan,111.2
2017 Feb,111.5
2017 Mar,111.6
2017 Apr,111.9
2017 May,111.9
2017 Jun,112
2017 Jul,111.9
2017 Aug,112.1
2017 Sep,112.5
2017 Oct,112.5
2017 Nov,112.7
2017 Dec,112.6
2018 Jan,113.3
2018 Feb,113.7
2018 Mar,113.7
2018 Apr,113.8
2018 May,113.9
2018 Jun,113.5
2018 Jul,113.4
2018 Aug,113.1
2018 Sep,113.2
2018 Oct,113.4
2018 Nov,113.5
2018 Dec,113.7
2019 Jan,113
2019 Feb,113.2
2019 Mar,113.2
2019 Apr,112.7
2019 May,112.4
2019 Jun,112
2019 Jul,111.9
2019 Aug,111.8
2019 Sep,111.8
2019 Oct,111.7
2019 Nov,111.8
2019 Dec,112
2020 Jan,112.1
2020 Feb,112.3
2020 Mar,112.1
2020 Apr,111.5
2020 May,111.6
2020 Jun,111.9
2020 Jul,112.1
2020 Aug,113
2020 Sep,113.7
2020 Oct,113.6
2020 Nov,113.6
2020 Dec,114.1
2021 Jan,115.1
2021 Feb,115.7
2021 Mar,116.7
2021 Apr,117.6
2021 May,118.8
2021 Jun,119.6
2021 Jul,119.7
2021 Aug,119.7
2021 Sep,119.9
2021 Oct,120.7
2021 Nov,121.5
2021 Dec,122
2022 Jan,123.8
2022 Feb,124.8
2022 Mar,126.2
2022 Apr,126.8
2022 May,126.7
2022 Jun,126
2022 Jul,125.2
2022 Aug,124.9
2022 Sep,124.5
2022 Oct,124.3
2022 Nov,124
2022 Dec,125.1
2023 Jan,125.5
2023 Feb,125.1
2023 Mar,124.3
2023 Apr,124.1
2023 May,123.9
