REF_DATE,VALUE
Jan-04,1534133
Feb-04,1533153
Mar-04,1546782
Apr-04,1550713
May-04,1552199
Jun-04,1559745
Jul-04,1561166
Aug-04,1567772
Sep-04,1572150
Oct-04,1572634
Nov-04,1578521
Dec-04,1578808
Jan-05,1586464
Feb-05,1587514
Mar-05,1582075
Apr-05,1593743
May-05,1600541
Jun-05,1605305
Jul-05,1609419
Aug-05,1615485
Sep-05,1616815
Oct-05,1622249
Nov-05,1631120
Dec-05,1639741
Jan-06,1643777
Feb-06,1647376
Mar-06,1651113
Apr-06,1651447
May-06,1652209
Jun-06,1649492
Jul-06,1652499
Aug-06,1653687
Sep-06,1651259
Oct-06,1653852
Nov-06,1657476
Dec-06,1667863
Jan-07,1664270
Feb-07,1672314
Mar-07,1675800
Apr-07,1677975
May-07,1685392
Jun-07,1690289
Jul-07,1690162
Aug-07,1695381
Sep-07,1692836
Oct-07,1694950
Nov-07,1697058
Dec-07,1691174
Jan-08,1698880
Feb-08,1696406
Mar-08,1700023
Apr-08,1704115
May-08,1704579
Jun-08,1708443
Jul-08,1716325
Aug-08,1715409
Sep-08,1716204
Oct-08,1714704
Nov-08,1697771
Dec-08,1674768
Jan-09,1666991
Feb-09,1658505
Mar-09,1645177
Apr-09,1639899
May-09,1638174
Jun-09,1639999
Jul-09,1642487
Aug-09,1641555
Sep-09,1653564
Oct-09,1654908
Nov-09,1664123
Dec-09,1668363
Jan-10,1678021
Feb-10,1686248
Mar-10,1694010
Apr-10,1691697
May-10,1698996
Jun-10,1703350
Jul-10,1705789
Aug-10,1711006
Sep-10,1710945
Oct-10,1719924
Nov-10,1728219
Dec-10,1740477
Jan-11,1746417
Feb-11,1743481
Mar-11,1749013
Apr-11,1749342
May-11,1745554
Jun-11,1753173
Jul-11,1765092
Aug-11,1773823
Sep-11,1778505
Oct-11,1778220
Nov-11,1780181
Dec-11,1788771
Jan-12,1787361
Feb-12,1782919
Mar-12,1787629
Apr-12,1794004
May-12,1797035
Jun-12,1798097
Jul-12,1801767
Aug-12,1799507
Sep-12,1799362
Oct-12,1798607
Nov-12,1807197
Dec-12,1807020
Jan-13,1817341
Feb-13,1822625
Mar-13,1828781
Apr-13,1831872
May-13,1836789
Jun-13,1830069
Jul-13,1840589
Aug-13,1848660
Sep-13,1854965
Oct-13,1865044
Nov-13,1869704
Dec-13,1862085
Jan-14,1863016
Feb-14,1872372
Mar-14,1877319
Apr-14,1881089
May-14,1892936
Jun-14,1901582
Jul-14,1904231
Aug-14,1900243
Sep-14,1907853
Oct-14,1913336
Nov-14,1914595
Dec-14,1917540
Jan-15,1909565
Feb-15,1906992
Mar-15,1905893
Apr-15,1905308
May-15,1904276
Jun-15,1909478
Jul-15,1914310
Aug-15,1918420
Sep-15,1910549
Oct-15,1912416
Nov-15,1917017
Dec-15,1919231
Jan-16,1930936
Feb-16,1925200
Mar-16,1917977
Apr-16,1922218
May-16,1911266
Jun-16,1920413
Jul-16,1931752
Aug-16,1936249
Sep-16,1941208
Oct-16,1940191
Nov-16,1947487
Dec-16,1952976
Jan-17,1962155
Feb-17,1969469
Mar-17,1977866
Apr-17,1987063
May-17,1991768
Jun-17,1996318
Jul-17,1995107
Aug-17,1993806
Sep-17,1999292
Oct-17,2000229
Nov-17,2010076
Dec-17,2015284
Jan-18,2021609
Feb-18,2031970
Mar-18,2039998
Apr-18,2039816
May-18,2046802
Jun-18,2049081
Jul-18,2053571
Aug-18,2055624
Sep-18,2059043
Oct-18,2063564
Nov-18,2060609
Dec-18,2063997
Jan-19,2067734
Feb-19,2061072
Mar-19,2072695
Apr-19,2085981
May-19,2092171
Jun-19,2095977
Jul-19,2097018
Aug-19,2097194
Sep-19,2098648
Oct-19,2100483
Nov-19,2100304
Dec-19,2110627
Jan-20,2111589
Feb-20,2116017
Mar-20,1956479
Apr-20,1747938
May-20,1828028
Jun-20,1936321
Jul-20,1986120
Aug-20,2005910
Sep-20,2024699
Oct-20,2037348
Nov-20,2051205
Dec-20,2056758
Jan-21,2068509
Feb-21,2071653
Mar-21,2093651
Apr-21,2072052
May-21,2067784
Jun-21,2087291
Jul-21,2101493
Aug-21,2119124
Sep-21,2129287
Oct-21,2147254
Nov-21,2157217
Dec-21,2166129
Jan-22,2160859
Feb-22,2183889
Mar-22,2196942
Apr-22,2197345
May-22,2202456
Jun-22,2211634
Jul-22,2214919
Aug-22,2221513
Sep-22,2226368
Oct-22,2223909
Nov-22,2221392
Dec-22,2214902
Jan-23,2236190
Feb-23,2243830
Mar-23,2250566
Apr-23,2250710
May-23,2251250
Jun-23,2248378
Jul-23,2250903
Aug-23,2251926
Sep-23,2251153
Oct-23,2253540
Nov-23,2259470
Dec-23,2256668
Jan-24,2262764
Feb-24,2276470
Mar-24,2277491
Apr-24,2285643
May-24,2289038
Jun-24,2294051
Jul-24,2298623
Aug-24,2301315
Sep-24,2307523
Oct-24,2317073
Nov-24,2312337
Dec-24,2317000
Jan-25,2329240
Feb-25,2325406
Mar-25,2328046
Apr-25,2324598
May-25,2323068
Jun-25,2324008
Jul-25,2338441
Aug-25,2337229
Sep-25,2340854
Oct-25,2334503
Nov-25,2335511
Dec-25,2341221
Jan-26,2342804
