"series","file_name","date","value"
"can_exchange_rate","can_exchange_rate.csv",2003-12-01,97.96
"can_exchange_rate","can_exchange_rate.csv",2004-01-01,98.67
"can_exchange_rate","can_exchange_rate.csv",2004-02-01,96.12
"can_exchange_rate","can_exchange_rate.csv",2004-03-01,96.51
"can_exchange_rate","can_exchange_rate.csv",2004-04-01,96
"can_exchange_rate","can_exchange_rate.csv",2004-05-01,93.82
"can_exchange_rate","can_exchange_rate.csv",2004-06-01,94.85
"can_exchange_rate","can_exchange_rate.csv",2004-07-01,97.33
"can_exchange_rate","can_exchange_rate.csv",2004-08-01,98.05
"can_exchange_rate","can_exchange_rate.csv",2004-09-01,99.83
"can_exchange_rate","can_exchange_rate.csv",2004-10-01,102.75
"can_exchange_rate","can_exchange_rate.csv",2004-11-01,106.38
"can_exchange_rate","can_exchange_rate.csv",2004-12-01,103.82
"can_exchange_rate","can_exchange_rate.csv",2005-01-01,103.57
"can_exchange_rate","can_exchange_rate.csv",2005-02-01,102.32
"can_exchange_rate","can_exchange_rate.csv",2005-03-01,104.02
"can_exchange_rate","can_exchange_rate.csv",2005-04-01,102.77
"can_exchange_rate","can_exchange_rate.csv",2005-05-01,101.26
"can_exchange_rate","can_exchange_rate.csv",2005-06-01,102.98
"can_exchange_rate","can_exchange_rate.csv",2005-07-01,104.85
"can_exchange_rate","can_exchange_rate.csv",2005-08-01,105.85
"can_exchange_rate","can_exchange_rate.csv",2005-09-01,108.32
"can_exchange_rate","can_exchange_rate.csv",2005-10-01,109
"can_exchange_rate","can_exchange_rate.csv",2005-11-01,108.85
"can_exchange_rate","can_exchange_rate.csv",2005-12-01,110.63
"can_exchange_rate","can_exchange_rate.csv",2006-01-01,110.31
"can_exchange_rate","can_exchange_rate.csv",2006-02-01,111.37
"can_exchange_rate","can_exchange_rate.csv",2006-03-01,110.57
"can_exchange_rate","can_exchange_rate.csv",2006-04-01,111.49
"can_exchange_rate","can_exchange_rate.csv",2006-05-01,114.15
"can_exchange_rate","can_exchange_rate.csv",2006-06-01,114.34
"can_exchange_rate","can_exchange_rate.csv",2006-07-01,112.71
"can_exchange_rate","can_exchange_rate.csv",2006-08-01,113.31
"can_exchange_rate","can_exchange_rate.csv",2006-09-01,113.77
"can_exchange_rate","can_exchange_rate.csv",2006-10-01,112.58
"can_exchange_rate","can_exchange_rate.csv",2006-11-01,111.33
"can_exchange_rate","can_exchange_rate.csv",2006-12-01,109.31
"can_exchange_rate","can_exchange_rate.csv",2007-01-01,107.37
"can_exchange_rate","can_exchange_rate.csv",2007-02-01,107.68
"can_exchange_rate","can_exchange_rate.csv",2007-03-01,107.66
"can_exchange_rate","can_exchange_rate.csv",2007-04-01,110.45
"can_exchange_rate","can_exchange_rate.csv",2007-05-01,114.33
"can_exchange_rate","can_exchange_rate.csv",2007-06-01,117.63
"can_exchange_rate","can_exchange_rate.csv",2007-07-01,118.58
"can_exchange_rate","can_exchange_rate.csv",2007-08-01,117.93
"can_exchange_rate","can_exchange_rate.csv",2007-09-01,120.99
"can_exchange_rate","can_exchange_rate.csv",2007-10-01,126.61
"can_exchange_rate","can_exchange_rate.csv",2007-11-01,127.31
"can_exchange_rate","can_exchange_rate.csv",2007-12-01,122.52
"can_exchange_rate","can_exchange_rate.csv",2008-01-01,121.19
"can_exchange_rate","can_exchange_rate.csv",2008-02-01,122.07
"can_exchange_rate","can_exchange_rate.csv",2008-03-01,120.8
"can_exchange_rate","can_exchange_rate.csv",2008-04-01,118.75
"can_exchange_rate","can_exchange_rate.csv",2008-05-01,120.89
"can_exchange_rate","can_exchange_rate.csv",2008-06-01,118.72
"can_exchange_rate","can_exchange_rate.csv",2008-07-01,118.61
"can_exchange_rate","can_exchange_rate.csv",2008-08-01,115.21
"can_exchange_rate","can_exchange_rate.csv",2008-09-01,115.88
"can_exchange_rate","can_exchange_rate.csv",2008-10-01,106.5
"can_exchange_rate","can_exchange_rate.csv",2008-11-01,103.98
"can_exchange_rate","can_exchange_rate.csv",2008-12-01,101.96
"can_exchange_rate","can_exchange_rate.csv",2009-01-01,102.98
"can_exchange_rate","can_exchange_rate.csv",2009-02-01,102.33
"can_exchange_rate","can_exchange_rate.csv",2009-03-01,101.16
"can_exchange_rate","can_exchange_rate.csv",2009-04-01,103.15
"can_exchange_rate","can_exchange_rate.csv",2009-05-01,108.81
"can_exchange_rate","can_exchange_rate.csv",2009-06-01,110.91
"can_exchange_rate","can_exchange_rate.csv",2009-07-01,110.84
"can_exchange_rate","can_exchange_rate.csv",2009-08-01,114
