"series","file_name","date","value"
"ppi_usa (2)","ppi_usa (2).csv",2004-01-01,150.3
"ppi_usa (2)","ppi_usa (2).csv",2004-02-01,150.3
"ppi_usa (2)","ppi_usa (2).csv",2004-03-01,151.2
"ppi_usa (2)","ppi_usa (2).csv",2004-04-01,151.9
"ppi_usa (2)","ppi_usa (2).csv",2004-05-01,152.7
"ppi_usa (2)","ppi_usa (2).csv",2004-06-01,152.9
"ppi_usa (2)","ppi_usa (2).csv",2004-07-01,152
"ppi_usa (2)","ppi_usa (2).csv",2004-08-01,152.3
"ppi_usa (2)","ppi_usa (2).csv",2004-09-01,152.6
"ppi_usa (2)","ppi_usa (2).csv",2004-10-01,153.7
"ppi_usa (2)","ppi_usa (2).csv",2004-11-01,153.9
"ppi_usa (2)","ppi_usa (2).csv",2004-12-01,154.3
"ppi_usa (2)","ppi_usa (2).csv",2005-01-01,154.8
"ppi_usa (2)","ppi_usa (2).csv",2005-02-01,155.1
"ppi_usa (2)","ppi_usa (2).csv",2005-03-01,155.5
"ppi_usa (2)","ppi_usa (2).csv",2005-04-01,155.9
"ppi_usa (2)","ppi_usa (2).csv",2005-05-01,156.1
"ppi_usa (2)","ppi_usa (2).csv",2005-06-01,155.6
"ppi_usa (2)","ppi_usa (2).csv",2005-07-01,155.8
"ppi_usa (2)","ppi_usa (2).csv",2005-08-01,155.7
"ppi_usa (2)","ppi_usa (2).csv",2005-09-01,156.4
"ppi_usa (2)","ppi_usa (2).csv",2005-10-01,156.2
"ppi_usa (2)","ppi_usa (2).csv",2005-11-01,156.4
"ppi_usa (2)","ppi_usa (2).csv",2005-12-01,156.7
"ppi_usa (2)","ppi_usa (2).csv",2006-01-01,157.1
"ppi_usa (2)","ppi_usa (2).csv",2006-02-01,156.7
"ppi_usa (2)","ppi_usa (2).csv",2006-03-01,157
"ppi_usa (2)","ppi_usa (2).csv",2006-04-01,157.3
"ppi_usa (2)","ppi_usa (2).csv",2006-05-01,157.3
"ppi_usa (2)","ppi_usa (2).csv",2006-06-01,157.8
"ppi_usa (2)","ppi_usa (2).csv",2006-07-01,157.2
"ppi_usa (2)","ppi_usa (2).csv",2006-08-01,158.2
"ppi_usa (2)","ppi_usa (2).csv",2006-09-01,158.8
"ppi_usa (2)","ppi_usa (2).csv",2006-10-01,158.2
"ppi_usa (2)","ppi_usa (2).csv",2006-11-01,159.1
"ppi_usa (2)","ppi_usa (2).csv",2006-12-01,159.7
"ppi_usa (2)","ppi_usa (2).csv",2007-01-01,160.2
"ppi_usa (2)","ppi_usa (2).csv",2007-02-01,161.4
"ppi_usa (2)","ppi_usa (2).csv",2007-03-01,161.9
"ppi_usa (2)","ppi_usa (2).csv",2007-04-01,162.3
"ppi_usa (2)","ppi_usa (2).csv",2007-05-01,162.3
"ppi_usa (2)","ppi_usa (2).csv",2007-06-01,162.4
"ppi_usa (2)","ppi_usa (2).csv",2007-07-01,162.8
"ppi_usa (2)","ppi_usa (2).csv",2007-08-01,163
"ppi_usa (2)","ppi_usa (2).csv",2007-09-01,163.5
"ppi_usa (2)","ppi_usa (2).csv",2007-10-01,164.6
"ppi_usa (2)","ppi_usa (2).csv",2007-11-01,164.9
"ppi_usa (2)","ppi_usa (2).csv",2007-12-01,165.4
"ppi_usa (2)","ppi_usa (2).csv",2008-01-01,166.6
"ppi_usa (2)","ppi_usa (2).csv",2008-02-01,167
"ppi_usa (2)","ppi_usa (2).csv",2008-03-01,167.7
"ppi_usa (2)","ppi_usa (2).csv",2008-04-01,168.2
"ppi_usa (2)","ppi_usa (2).csv",2008-05-01,169
"ppi_usa (2)","ppi_usa (2).csv",2008-06-01,169.7
"ppi_usa (2)","ppi_usa (2).csv",2008-07-01,170.7
"ppi_usa (2)","ppi_usa (2).csv",2008-08-01,171.3
"ppi_usa (2)","ppi_usa (2).csv",2008-09-01,171.8
"ppi_usa (2)","ppi_usa (2).csv",2008-10-01,173
"ppi_usa (2)","ppi_usa (2).csv",2008-11-01,172.8
"ppi_usa (2)","ppi_usa (2).csv",2008-12-01,172.4
"ppi_usa (2)","ppi_usa (2).csv",2009-01-01,172.2
"ppi_usa (2)","ppi_usa (2).csv",2009-02-01,171.8
"ppi_usa (2)","ppi_usa (2).csv",2009-03-01,171.8
"ppi_usa (2)","ppi_usa (2).csv",2009-04-01,172.4
"ppi_usa (2)","ppi_usa (2).csv",2009-05-01,171.8
"ppi_usa (2)","ppi_usa (2).csv",2009-06-01,172.6
"ppi_usa (2)","ppi_usa (2).csv",2009-07-01,171.9
"ppi_usa (2)","ppi_usa (2).csv",2009-08-01,172.2
"ppi_usa (2)","ppi_usa (2).csv",2009-09-01,172
"ppi_usa (2)","ppi_usa (2).csv",2009-10-01,172.5
"ppi_usa (2)","ppi_usa (2).csv",2009-11-01,173.1
"ppi_usa (2)","ppi_usa (2).csv",2009-12-01,173.7
"ppi_usa (2)","ppi_usa (2).csv",2010-01-01,174.2
"ppi_usa (2)","ppi_usa (2).csv",2010-02-01,174.5
"ppi_usa (2)","ppi_usa (2).csv",2010-03-01,175.7
"ppi_usa (2)","ppi_usa (2).csv",2010-04-01,175.5
"ppi_usa (2)","ppi_usa (2).csv",2010-05-01,175.8
"ppi_usa (2)","ppi_usa (2).csv",2010-06-01,174.8
"ppi_usa (2)","ppi_usa (2).csv",2010-07-01,175.3
"ppi_usa (2)","ppi_usa (2).csv",2010-08-01,175.2
"ppi_usa (2)","ppi_usa (2).csv",2010-09-01,175.9
"ppi_usa (2)","ppi_usa (2).csv",2010-10-01,176.1
"ppi_usa (2)","ppi_usa (2).csv",2010-11-01,176.5
"ppi_usa (2)","ppi_usa (2).csv",2010-12-01,177.1
"ppi_usa (2)","ppi_usa (2).csv",2011-01-01,177.9
"ppi_usa (2)","ppi_usa (2).csv",2011-02-01,179.8
"ppi_usa (2)","ppi_usa (2).csv",2011-03-01,180.1
"ppi_usa (2)","ppi_usa (2).csv",2011-04-01,180.5
"ppi_usa (2)","ppi_usa (2).csv",2011-05-01,180.3
"ppi_usa (2)","ppi_usa (2).csv",2011-06-01,180.9
"ppi_usa (2)","ppi_usa (2).csv",2011-07-01,181.7
"ppi_usa (2)","ppi_usa (2).csv",2011-08-01,182.3
"ppi_usa (2)","ppi_usa (2).csv",2011-09-01,182.9
"ppi_usa (2)","ppi_usa (2).csv",2011-10-01,183.1
"ppi_usa (2)","ppi_usa (2).csv",2011-11-01,183.6
"ppi_usa (2)","ppi_usa (2).csv",2011-12-01,183.7
"ppi_usa (2)","ppi_usa (2).csv",2012-01-01,184.4
"ppi_usa (2)","ppi_usa (2).csv",2012-02-01,184.6
"ppi_usa (2)","ppi_usa (2).csv",2012-03-01,185.1
"ppi_usa (2)","ppi_usa (2).csv",2012-04-01,185.2
"ppi_usa (2)","ppi_usa (2).csv",2012-05-01,185.4
"ppi_usa (2)","ppi_usa (2).csv",2012-06-01,185.7
"ppi_usa (2)","ppi_usa (2).csv",2012-07-01,186.3
"ppi_usa (2)","ppi_usa (2).csv",2012-08-01,186.8
"ppi_usa (2)","ppi_usa (2).csv",2012-09-01,187
"ppi_usa (2)","ppi_usa (2).csv",2012-10-01,187.2
"ppi_usa (2)","ppi_usa (2).csv",2012-11-01,187.9
"ppi_usa (2)","ppi_usa (2).csv",2012-12-01,187.8
"ppi_usa (2)","ppi_usa (2).csv",2013-01-01,188.5
"ppi_usa (2)","ppi_usa (2).csv",2013-02-01,188.3
"ppi_usa (2)","ppi_usa (2).csv",2013-03-01,188.9
"ppi_usa (2)","ppi_usa (2).csv",2013-04-01,188.5
"ppi_usa (2)","ppi_usa (2).csv",2013-05-01,188.8
"ppi_usa (2)","ppi_usa (2).csv",2013-06-01,188.9
"ppi_usa (2)","ppi_usa (2).csv",2013-07-01,189.1
"ppi_usa (2)","ppi_usa (2).csv",2013-08-01,189.5
"ppi_usa (2)","ppi_usa (2).csv",2013-09-01,189.3
"ppi_usa (2)","ppi_usa (2).csv",2013-10-01,189.7
"ppi_usa (2)","ppi_usa (2).csv",2013-11-01,190.1
"ppi_usa (2)","ppi_usa (2).csv",2013-12-01,190.8
"ppi_usa (2)","ppi_usa (2).csv",2014-01-01,191.7
"ppi_usa (2)","ppi_usa (2).csv",2014-02-01,192
"ppi_usa (2)","ppi_usa (2).csv",2014-03-01,192.6
"ppi_usa (2)","ppi_usa (2).csv",2014-04-01,193.7
"ppi_usa (2)","ppi_usa (2).csv",2014-05-01,193.5
"ppi_usa (2)","ppi_usa (2).csv",2014-06-01,193.9
"ppi_usa (2)","ppi_usa (2).csv",2014-07-01,194.5
"ppi_usa (2)","ppi_usa (2).csv",2014-08-01,194.6
"ppi_usa (2)","ppi_usa (2).csv",2014-09-01,194.8
"ppi_usa (2)","ppi_usa (2).csv",2014-10-01,195.6
"ppi_usa (2)","ppi_usa (2).csv",2014-11-01,195.6
"ppi_usa (2)","ppi_usa (2).csv",2014-12-01,195.8
"ppi_usa (2)","ppi_usa (2).csv",2015-01-01,196.1
"ppi_usa (2)","ppi_usa (2).csv",2015-02-01,195.8
"ppi_usa (2)","ppi_usa (2).csv",2015-03-01,195.6
"ppi_usa (2)","ppi_usa (2).csv",2015-04-01,195.3
"ppi_usa (2)","ppi_usa (2).csv",2015-05-01,195.8
"ppi_usa (2)","ppi_usa (2).csv",2015-06-01,196.6
"ppi_usa (2)","ppi_usa (2).csv",2015-07-01,196.5
"ppi_usa (2)","ppi_usa (2).csv",2015-08-01,196.8
"ppi_usa (2)","ppi_usa (2).csv",2015-09-01,196.9
"ppi_usa (2)","ppi_usa (2).csv",2015-10-01,196.4
"ppi_usa (2)","ppi_usa (2).csv",2015-11-01,196.6
"ppi_usa (2)","ppi_usa (2).csv",2015-12-01,196.4
"ppi_usa (2)","ppi_usa (2).csv",2016-01-01,197.2
"ppi_usa (2)","ppi_usa (2).csv",2016-02-01,197.3
"ppi_usa (2)","ppi_usa (2).csv",2016-03-01,196.8
"ppi_usa (2)","ppi_usa (2).csv",2016-04-01,196.8
"ppi_usa (2)","ppi_usa (2).csv",2016-05-01,196.9
"ppi_usa (2)","ppi_usa (2).csv",2016-06-01,197.3
"ppi_usa (2)","ppi_usa (2).csv",2016-07-01,197.5
"ppi_usa (2)","ppi_usa (2).csv",2016-08-01,197.1
"ppi_usa (2)","ppi_usa (2).csv",2016-09-01,197.6
"ppi_usa (2)","ppi_usa (2).csv",2016-10-01,197.5
"ppi_usa (2)","ppi_usa (2).csv",2016-11-01,197.4
"ppi_usa (2)","ppi_usa (2).csv",2016-12-01,198.1
"ppi_usa (2)","ppi_usa (2).csv",2017-01-01,198.6
"ppi_usa (2)","ppi_usa (2).csv",2017-02-01,199
"ppi_usa (2)","ppi_usa (2).csv",2017-03-01,199.8
"ppi_usa (2)","ppi_usa (2).csv",2017-04-01,200.9
"ppi_usa (2)","ppi_usa (2).csv",2017-05-01,200.3
"ppi_usa (2)","ppi_usa (2).csv",2017-06-01,200.7
"ppi_usa (2)","ppi_usa (2).csv",2017-07-01,200.8
"ppi_usa (2)","ppi_usa (2).csv",2017-08-01,200.7
"ppi_usa (2)","ppi_usa (2).csv",2017-09-01,200.7
"ppi_usa (2)","ppi_usa (2).csv",2017-10-01,201.7
"ppi_usa (2)","ppi_usa (2).csv",2017-11-01,202.1
"ppi_usa (2)","ppi_usa (2).csv",2017-12-01,202.2
"ppi_usa (2)","ppi_usa (2).csv",2018-01-01,202.4
"ppi_usa (2)","ppi_usa (2).csv",2018-02-01,202.2
"ppi_usa (2)","ppi_usa (2).csv",2018-03-01,203.6
"ppi_usa (2)","ppi_usa (2).csv",2018-04-01,203
"ppi_usa (2)","ppi_usa (2).csv",2018-05-01,203.5
"ppi_usa (2)","ppi_usa (2).csv",2018-06-01,203.2
"ppi_usa (2)","ppi_usa (2).csv",2018-07-01,204
"ppi_usa (2)","ppi_usa (2).csv",2018-08-01,204
"ppi_usa (2)","ppi_usa (2).csv",2018-09-01,204.2
"ppi_usa (2)","ppi_usa (2).csv",2018-10-01,205.2
"ppi_usa (2)","ppi_usa (2).csv",2018-11-01,206.3
"ppi_usa (2)","ppi_usa (2).csv",2018-12-01,207.6
"ppi_usa (2)","ppi_usa (2).csv",2019-01-01,207.4
"ppi_usa (2)","ppi_usa (2).csv",2019-02-01,207.4
"ppi_usa (2)","ppi_usa (2).csv",2019-03-01,207.9
"ppi_usa (2)","ppi_usa (2).csv",2019-04-01,207.7
"ppi_usa (2)","ppi_usa (2).csv",2019-05-01,207.9
"ppi_usa (2)","ppi_usa (2).csv",2019-06-01,208.1
"ppi_usa (2)","ppi_usa (2).csv",2019-07-01,208.4
"ppi_usa (2)","ppi_usa (2).csv",2019-08-01,208.2
"ppi_usa (2)","ppi_usa (2).csv",2019-09-01,208.4
"ppi_usa (2)","ppi_usa (2).csv",2019-10-01,209.3
"ppi_usa (2)","ppi_usa (2).csv",2019-11-01,210.4
"ppi_usa (2)","ppi_usa (2).csv",2019-12-01,210.4
"ppi_usa (2)","ppi_usa (2).csv",2020-01-01,210.1
"ppi_usa (2)","ppi_usa (2).csv",2020-02-01,210
"ppi_usa (2)","ppi_usa (2).csv",2020-03-01,209.9
"ppi_usa (2)","ppi_usa (2).csv",2020-04-01,210.2
"ppi_usa (2)","ppi_usa (2).csv",2020-05-01,213.1
"ppi_usa (2)","ppi_usa (2).csv",2020-06-01,210.4
"ppi_usa (2)","ppi_usa (2).csv",2020-07-01,210.5
"ppi_usa (2)","ppi_usa (2).csv",2020-08-01,210.5
"ppi_usa (2)","ppi_usa (2).csv",2020-09-01,210.9
"ppi_usa (2)","ppi_usa (2).csv",2020-10-01,211.7
"ppi_usa (2)","ppi_usa (2).csv",2020-11-01,211.8
"ppi_usa (2)","ppi_usa (2).csv",2020-12-01,211.7
"ppi_usa (2)","ppi_usa (2).csv",2021-01-01,212.5
"ppi_usa (2)","ppi_usa (2).csv",2021-02-01,213.9
"ppi_usa (2)","ppi_usa (2).csv",2021-03-01,214.6
"ppi_usa (2)","ppi_usa (2).csv",2021-04-01,216.1
"ppi_usa (2)","ppi_usa (2).csv",2021-05-01,218.2
"ppi_usa (2)","ppi_usa (2).csv",2021-06-01,220.2
"ppi_usa (2)","ppi_usa (2).csv",2021-07-01,220.782
"ppi_usa (2)","ppi_usa (2).csv",2021-08-01,222.575
"ppi_usa (2)","ppi_usa (2).csv",2021-09-01,224.943
"ppi_usa (2)","ppi_usa (2).csv",2021-10-01,225.743
"ppi_usa (2)","ppi_usa (2).csv",2021-11-01,227.268
"ppi_usa (2)","ppi_usa (2).csv",2021-12-01,228.639
"ppi_usa (2)","ppi_usa (2).csv",2022-01-01,230.924
"ppi_usa (2)","ppi_usa (2).csv",2022-02-01,233.794
"ppi_usa (2)","ppi_usa (2).csv",2022-03-01,236.056
"ppi_usa (2)","ppi_usa (2).csv",2022-04-01,238.797
"ppi_usa (2)","ppi_usa (2).csv",2022-05-01,240.943
"ppi_usa (2)","ppi_usa (2).csv",2022-06-01,241.992
"ppi_usa (2)","ppi_usa (2).csv",2022-07-01,244.322
"ppi_usa (2)","ppi_usa (2).csv",2022-08-01,244.936
"ppi_usa (2)","ppi_usa (2).csv",2022-09-01,246.135
"ppi_usa (2)","ppi_usa (2).csv",2022-10-01,247.209
"ppi_usa (2)","ppi_usa (2).csv",2022-11-01,249.791
"ppi_usa (2)","ppi_usa (2).csv",2022-12-01,250.559
"ppi_usa (2)","ppi_usa (2).csv",2023-01-01,251.016
"ppi_usa (2)","ppi_usa (2).csv",2023-02-01,249.775
"ppi_usa (2)","ppi_usa (2).csv",2023-03-01,250.738
"ppi_usa (2)","ppi_usa (2).csv",2023-04-01,250.722
"ppi_usa (2)","ppi_usa (2).csv",2023-05-01,250.697
"ppi_usa (2)","ppi_usa (2).csv",2023-06-01,250.896
"ppi_usa (2)","ppi_usa (2).csv",2023-07-01,251.096
"ppi_usa (2)","ppi_usa (2).csv",2023-08-01,251.423
"ppi_usa (2)","ppi_usa (2).csv",2023-09-01,251.796
"ppi_usa (2)","ppi_usa (2).csv",2023-10-01,252.027
"ppi_usa (2)","ppi_usa (2).csv",2023-11-01,252.621
"ppi_usa (2)","ppi_usa (2).csv",2023-12-01,252.898
"ppi_usa (2)","ppi_usa (2).csv",2024-01-01,253.911
"ppi_usa (2)","ppi_usa (2).csv",2024-02-01,255.843
"ppi_usa (2)","ppi_usa (2).csv",2024-03-01,256.215
"ppi_usa (2)","ppi_usa (2).csv",2024-04-01,256.308
"ppi_usa (2)","ppi_usa (2).csv",2024-05-01,256.491
"ppi_usa (2)","ppi_usa (2).csv",2024-06-01,257.169
"ppi_usa (2)","ppi_usa (2).csv",2024-07-01,257.499
"ppi_usa (2)","ppi_usa (2).csv",2024-08-01,258.856
"ppi_usa (2)","ppi_usa (2).csv",2024-09-01,259.541
"ppi_usa (2)","ppi_usa (2).csv",2024-10-01,259.334
"ppi_usa (2)","ppi_usa (2).csv",2024-11-01,261.687
"ppi_usa (2)","ppi_usa (2).csv",2024-12-01,262.138
"ppi_usa (2)","ppi_usa (2).csv",2025-01-01,262.984
"ppi_usa (2)","ppi_usa (2).csv",2025-02-01,264.933
"ppi_usa (2)","ppi_usa (2).csv",2025-03-01,263.603
"ppi_usa (2)","ppi_usa (2).csv",2025-04-01,263.204
"ppi_usa (2)","ppi_usa (2).csv",2025-05-01,263.887
"ppi_usa (2)","ppi_usa (2).csv",2025-06-01,264.511
"ppi_usa (2)","ppi_usa (2).csv",2025-07-01,266.093
"ppi_usa (2)","ppi_usa (2).csv",2025-08-01,266.576
"ppi_usa (2)","ppi_usa (2).csv",2025-09-01,267.459
"ppi_usa (2)","ppi_usa (2).csv",2025-10-01,268.121
"ppi_usa (2)","ppi_usa (2).csv",2025-11-01,268.596
"ppi_usa (2)","ppi_usa (2).csv",2025-12-01,269.035
"ppi_usa (2)","ppi_usa (2).csv",2026-01-01,268.9
"ppi_usa (2)","ppi_usa (2).csv",2026-02-01,271.26
