"date","series","value"
2004-01-01,"cpi_can",103.7
2004-02-01,"cpi_can",103.7
2004-03-01,"cpi_can",103.7
2004-04-01,"cpi_can",104
2004-05-01,"cpi_can",104.7
2004-06-01,"cpi_can",104.8
2004-07-01,"cpi_can",104.8
2004-08-01,"cpi_can",104.7
2004-09-01,"cpi_can",104.8
2004-10-01,"cpi_can",105.2
2004-11-01,"cpi_can",105.7
2004-12-01,"cpi_can",105.8
2005-01-01,"cpi_can",105.8
2005-02-01,"cpi_can",105.9
2005-03-01,"cpi_can",106.2
2005-04-01,"cpi_can",106.4
2005-05-01,"cpi_can",106.3
2005-06-01,"cpi_can",106.6
2005-07-01,"cpi_can",106.8
2005-08-01,"cpi_can",107.3
2005-09-01,"cpi_can",108.3
2005-10-01,"cpi_can",108.1
2005-11-01,"cpi_can",107.9
2005-12-01,"cpi_can",108
2006-01-01,"cpi_can",108.9
2006-02-01,"cpi_can",108.5
2006-03-01,"cpi_can",108.6
2006-04-01,"cpi_can",109.1
2006-05-01,"cpi_can",109.2
2006-06-01,"cpi_can",109.1
2006-07-01,"cpi_can",109.2
2006-08-01,"cpi_can",109.4
2006-09-01,"cpi_can",109
2006-10-01,"cpi_can",109.1
2006-11-01,"cpi_can",109.5
2006-12-01,"cpi_can",109.9
2007-01-01,"cpi_can",110.2
2007-02-01,"cpi_can",110.6
2007-03-01,"cpi_can",111.2
2007-04-01,"cpi_can",111.5
2007-05-01,"cpi_can",111.5
2007-06-01,"cpi_can",111.3
2007-07-01,"cpi_can",111.4
2007-08-01,"cpi_can",111.3
2007-09-01,"cpi_can",111.7
2007-10-01,"cpi_can",111.9
2007-11-01,"cpi_can",112.2
2007-12-01,"cpi_can",112.6
2008-01-01,"cpi_can",112.4
2008-02-01,"cpi_can",112.6
2008-03-01,"cpi_can",112.8
2008-04-01,"cpi_can",113.3
2008-05-01,"cpi_can",114.1
2008-06-01,"cpi_can",114.9
2008-07-01,"cpi_can",115.4
2008-08-01,"cpi_can",115.4
2008-09-01,"cpi_can",115.5
2008-10-01,"cpi_can",114.7
2008-11-01,"cpi_can",114.3
2008-12-01,"cpi_can",113.9
2009-01-01,"cpi_can",113.7
2009-02-01,"cpi_can",114.1
2009-03-01,"cpi_can",114
2009-04-01,"cpi_can",113.7
2009-05-01,"cpi_can",114.2
2009-06-01,"cpi_can",114.7
2009-07-01,"cpi_can",114.3
2009-08-01,"cpi_can",114.5
2009-09-01,"cpi_can",114.6
2009-10-01,"cpi_can",114.8
2009-11-01,"cpi_can",115.4
2009-12-01,"cpi_can",115.4
2010-01-01,"cpi_can",115.8
2010-02-01,"cpi_can",115.9
2010-03-01,"cpi_can",115.6
2010-04-01,"cpi_can",115.6
2010-05-01,"cpi_can",115.7
2010-06-01,"cpi_can",116
2010-07-01,"cpi_can",116.6
2010-08-01,"cpi_can",116.5
2010-09-01,"cpi_can",116.7
2010-10-01,"cpi_can",117.4
2010-11-01,"cpi_can",117.7
2010-12-01,"cpi_can",118.2
2011-01-01,"cpi_can",118.4
2011-02-01,"cpi_can",118.3
2011-03-01,"cpi_can",119.1
2011-04-01,"cpi_can",119.6
2011-05-01,"cpi_can",120
2011-06-01,"cpi_can",119.6
2011-07-01,"cpi_can",119.8
2011-08-01,"cpi_can",120.1
2011-09-01,"cpi_can",120.5
2011-10-01,"cpi_can",120.9
2011-11-01,"cpi_can",121
2011-12-01,"cpi_can",120.8
2012-01-01,"cpi_can",121.5
2012-02-01,"cpi_can",121.4
2012-03-01,"cpi_can",121.5
2012-04-01,"cpi_can",121.9
2012-05-01,"cpi_can",121.5
2012-06-01,"cpi_can",121.2
2012-07-01,"cpi_can",121.2
2012-08-01,"cpi_can",121.7
2012-09-01,"cpi_can",121.9
2012-10-01,"cpi_can",122.2
2012-11-01,"cpi_can",122.1
2012-12-01,"cpi_can",122
2013-01-01,"cpi_can",122.1
2013-02-01,"cpi_can",122.9
2013-03-01,"cpi_can",122.8
2013-04-01,"cpi_can",122.3
2013-05-01,"cpi_can",122.3
2013-06-01,"cpi_can",122.6
2013-07-01,"cpi_can",122.8
2013-08-01,"cpi_can",122.9
2013-09-01,"cpi_can",123.1
2013-10-01,"cpi_can",123
2013-11-01,"cpi_can",123.2
2013-12-01,"cpi_can",123.6
2014-01-01,"cpi_can",123.9
2014-02-01,"cpi_can",124.3
2014-03-01,"cpi_can",124.5
2014-04-01,"cpi_can",125
2014-05-01,"cpi_can",125.1
2014-06-01,"cpi_can",125.4
2014-07-01,"cpi_can",125.4
2014-08-01,"cpi_can",125.5
2014-09-01,"cpi_can",125.7
2014-10-01,"cpi_can",125.9
2014-11-01,"cpi_can",125.7
2014-12-01,"cpi_can",125.5
2015-01-01,"cpi_can",125.1
2015-02-01,"cpi_can",125.5
2015-03-01,"cpi_can",126.1
2015-04-01,"cpi_can",125.8
2015-05-01,"cpi_can",126.3
2015-06-01,"cpi_can",126.8
2015-07-01,"cpi_can",127.1
2015-08-01,"cpi_can",127.1
2015-09-01,"cpi_can",127
2015-10-01,"cpi_can",127.2
2015-11-01,"cpi_can",127.3
2015-12-01,"cpi_can",127.4
2016-01-01,"cpi_can",127.5
2016-02-01,"cpi_can",127.3
2016-03-01,"cpi_can",127.7
2016-04-01,"cpi_can",127.9
2016-05-01,"cpi_can",128.3
2016-06-01,"cpi_can",128.6
2016-07-01,"cpi_can",128.5
2016-08-01,"cpi_can",128.6
2016-09-01,"cpi_can",128.8
2016-10-01,"cpi_can",129.1
2016-11-01,"cpi_can",128.9
2016-12-01,"cpi_can",129.3
2017-01-01,"cpi_can",130.1
2017-02-01,"cpi_can",129.9
2017-03-01,"cpi_can",129.7
2017-04-01,"cpi_can",130.1
2017-05-01,"cpi_can",129.9
2017-06-01,"cpi_can",129.9
2017-07-01,"cpi_can",130.1
2017-08-01,"cpi_can",130.4
2017-09-01,"cpi_can",130.7
2017-10-01,"cpi_can",130.9
2017-11-01,"cpi_can",131.7
2017-12-01,"cpi_can",131.8
2018-01-01,"cpi_can",132.3
2018-02-01,"cpi_can",132.6
2018-03-01,"cpi_can",132.7
2018-04-01,"cpi_can",132.8
2018-05-01,"cpi_can",132.9
2018-06-01,"cpi_can",133.1
2018-07-01,"cpi_can",133.7
2018-08-01,"cpi_can",133.9
2018-09-01,"cpi_can",133.8
2018-10-01,"cpi_can",134.2
2018-11-01,"cpi_can",134
2018-12-01,"cpi_can",134.3
2019-01-01,"cpi_can",134.3
2019-02-01,"cpi_can",134.7
2019-03-01,"cpi_can",135.2
2019-04-01,"cpi_can",135.6
2019-05-01,"cpi_can",136
2019-06-01,"cpi_can",135.9
2019-07-01,"cpi_can",136.4
2019-08-01,"cpi_can",136.4
2019-09-01,"cpi_can",136.3
2019-10-01,"cpi_can",136.7
2019-11-01,"cpi_can",136.8
2019-12-01,"cpi_can",137.3
2020-01-01,"cpi_can",137.5
2020-02-01,"cpi_can",137.7
2020-03-01,"cpi_can",136.3
2020-04-01,"cpi_can",135.6
2020-05-01,"cpi_can",135.4
2020-06-01,"cpi_can",136.5
2020-07-01,"cpi_can",136.5
2020-08-01,"cpi_can",136.8
2020-09-01,"cpi_can",137.1
2020-10-01,"cpi_can",137.5
2020-11-01,"cpi_can",138
2020-12-01,"cpi_can",138.5
2021-01-01,"cpi_can",139.1
2021-02-01,"cpi_can",139.4
2021-03-01,"cpi_can",139.5
2021-04-01,"cpi_can",139.9
2021-05-01,"cpi_can",140.3
2021-06-01,"cpi_can",140.7
2021-07-01,"cpi_can",141.4
2021-08-01,"cpi_can",142.3
2021-09-01,"cpi_can",143.1
2021-10-01,"cpi_can",143.9
2021-11-01,"cpi_can",144.5
2021-12-01,"cpi_can",145.2
2022-01-01,"cpi_can",146.3
2022-02-01,"cpi_can",147.3
2022-03-01,"cpi_can",148.9
2022-04-01,"cpi_can",149.4
2022-05-01,"cpi_can",151.1
2022-06-01,"cpi_can",152.2
2022-07-01,"cpi_can",152.2
2022-08-01,"cpi_can",152.1
2022-09-01,"cpi_can",152.8
2022-10-01,"cpi_can",153.7
2022-11-01,"cpi_can",154.3
2022-12-01,"cpi_can",154.2
2023-01-01,"cpi_can",154.9
2023-02-01,"cpi_can",155.1
2023-03-01,"cpi_can",155.3
2023-04-01,"cpi_can",156.1
2023-05-01,"cpi_can",156.2
2023-06-01,"cpi_can",156.6
2023-07-01,"cpi_can",157.2
2023-08-01,"cpi_can",158.3
2023-09-01,"cpi_can",158.6
2023-10-01,"cpi_can",158.5
2023-11-01,"cpi_can",159
2023-12-01,"cpi_can",159.4
2024-01-01,"cpi_can",159.4
2024-02-01,"cpi_can",159.4
2024-03-01,"cpi_can",159.8
2024-04-01,"cpi_can",160.3
2024-05-01,"cpi_can",160.7
2024-06-01,"cpi_can",160.8
2024-07-01,"cpi_can",161.2
2024-08-01,"cpi_can",161.3
2024-09-01,"cpi_can",161.2
2024-10-01,"cpi_can",161.7
2024-11-01,"cpi_can",162
2024-12-01,"cpi_can",162.3
2025-01-01,"cpi_can",162.5
2025-02-01,"cpi_can",163.5
2025-03-01,"cpi_can",163.5
2025-04-01,"cpi_can",163.1
2025-05-01,"cpi_can",163.5
2025-06-01,"cpi_can",163.9
2025-07-01,"cpi_can",164
2025-08-01,"cpi_can",164.3
2025-09-01,"cpi_can",165
2025-10-01,"cpi_can",165.2
2025-11-01,"cpi_can",165.6
2025-12-01,"cpi_can",166.1
2026-01-01,"cpi_can",166.2
2026-02-01,"cpi_can",166.4
2004-01-01,"cpi_us",186.3
2004-02-01,"cpi_us",186.7
2004-03-01,"cpi_us",187.1
2004-04-01,"cpi_us",187.4
2004-05-01,"cpi_us",188.2
2004-06-01,"cpi_us",188.9
2004-07-01,"cpi_us",189.1
2004-08-01,"cpi_us",189.2
2004-09-01,"cpi_us",189.8
2004-10-01,"cpi_us",190.8
2004-11-01,"cpi_us",191.7
2004-12-01,"cpi_us",191.7
2005-01-01,"cpi_us",191.6
2005-02-01,"cpi_us",192.4
2005-03-01,"cpi_us",193.1
2005-04-01,"cpi_us",193.7
2005-05-01,"cpi_us",193.6
2005-06-01,"cpi_us",193.7
2005-07-01,"cpi_us",194.9
2005-08-01,"cpi_us",196.1
2005-09-01,"cpi_us",198.8
2005-10-01,"cpi_us",199.1
2005-11-01,"cpi_us",198.1
2005-12-01,"cpi_us",198.1
2006-01-01,"cpi_us",199.3
2006-02-01,"cpi_us",199.4
2006-03-01,"cpi_us",199.7
2006-04-01,"cpi_us",200.7
2006-05-01,"cpi_us",201.3
2006-06-01,"cpi_us",201.8
2006-07-01,"cpi_us",202.9
2006-08-01,"cpi_us",203.8
2006-09-01,"cpi_us",202.8
2006-10-01,"cpi_us",201.9
2006-11-01,"cpi_us",202
2006-12-01,"cpi_us",203.1
2007-01-01,"cpi_us",203.437
2007-02-01,"cpi_us",204.226
2007-03-01,"cpi_us",205.288
2007-04-01,"cpi_us",205.904
2007-05-01,"cpi_us",206.755
2007-06-01,"cpi_us",207.234
2007-07-01,"cpi_us",207.603
2007-08-01,"cpi_us",207.667
2007-09-01,"cpi_us",208.547
2007-10-01,"cpi_us",209.19
2007-11-01,"cpi_us",210.834
2007-12-01,"cpi_us",211.445
2008-01-01,"cpi_us",212.174
2008-02-01,"cpi_us",212.687
2008-03-01,"cpi_us",213.448
