Country,Model,Training_RMSE,Holdout_RMSE
Canada,Mean,0.002880322704649436,0.0016965185023828898
Canada,ARIMAX,0.00276230678924527,0.00173266755814707
Canada,ARIMA,0.00279925672554601,0.00175135435910221
Canada,Exponential Smoothing (ETS),0.00284625273540671,0.00190675804170581
Canada,Persistence,0,0.0025336539625004824
United States,ARIMAX,0.00277366469967844,9.785521500268258e-4
United States,ARIMA,0.00277565679390288,9.80429639197032e-4
United States,Persistence,0,0.0011759551241778284
United States,Mean,0.0032764514548555964,0.0012098649889743809
United States,Exponential Smoothing (ETS),0.00314598187248494,0.00130888179822137
